scope,asn,hege,nb_peers
2553,3356,0.052500000000000005,100
2553,11096,1.0,100
2553,1299,0.0225,100
2553,6939,0.775,100
50,293,1.0,100
50,291,1.0,100
50,6939,0.65,100
2274,6939,1.0,100
2274,-31,0.0375,100
89,3356,0.75,100
89,6223,0.7625,100
89,209,0.3875,100
89,2914,0.0875,100
89,668,0.125,100
37,3356,0.5875,100
37,6223,0.65,100
37,209,0.4375,100
37,668,0.134375,100
37,2914,0.15,100
1451,3356,1.0,100
1451,174,0.00625,100
1451,3561,0.525,100
1451,209,0.025,100
1451,1299,0.0125,100
1471,3356,1.0,100
1471,209,1.0,100
1471,174,0.0375,100
1471,1299,0.025,100
1886,174,1.0,100
1886,1299,0.0125,100
1886,3356,0.0125,100
2675,6461,0.648611111111111,100
2675,15290,0.548611111111111,100
2675,1299,0.075,100
2675,3356,0.025,100
2015,174,0.0125,100
2015,6939,0.6875,100
2015,12129,0.3375,100
