scope,asn,hege,nb_peers
2675,3356,0.025,50
2675,6461,0.475,50
2675,15290,0.35,50
2675,-18,0.025,50
2675,1299,0.125,50
2015,6939,0.7,50
2015,12129,0.525,50
2015,1299,0.025,50
2015,-31,0.025,50
89,3356,0.625,50
89,6223,0.625,50
89,209,0.325,50
89,2914,0.125,50
89,668,0.225,50
37,3356,0.425,50
37,6223,0.5,50
37,209,0.3,50
37,668,0.225,50
37,2914,0.3,50
37,6939,0.03333333333333333,50
1451,3356,1.0,50
1451,3561,0.525,50
1451,1299,0.1,50
1451,174,0.0125,50
1471,3356,1.0,50
1471,209,1.0,50
1471,174,0.1,50
1886,3356,0.05,50
1886,174,1.0,50
50,293,1.0,50
50,291,0.9729166666666667,50
50,3356,0.05,50
50,6939,0.6472222222222223,50
2553,3356,0.05500000000000001,50
2553,11096,1.0,50
2553,6939,0.9,50
2274,6939,1.0,50
