scope,asn,hege,nb_peers
17816,3356,0.18125,200
17816,4837,0.7975825137338296,200
17816,174,0.2369913499025341,200
17816,9929,0.2291788499025341,200
17816,1299,0.14393939393939395,200
140726,4837,1.0,200
140726,701,0.053125,200
140726,1299,0.24375,200
140726,3257,0.04375,200
6619,6453,0.02502431906614786,200
6619,3356,0.43729844652753214,200
6619,1299,0.11872568093385213,200
6619,9318,0.08731060606060606,200
6619,23930,0.006060606060606061,200
33616,174,0.07142857142857142,200
33616,6939,0.7859375,200
33616,3356,0.04375,200
23352,3257,0.5625,200
23352,2914,0.3614583333333333,200
23352,3356,0.00625,200
23352,1299,0.014583333333333334,200
2860,6453,0.40499999999999997,200
2860,174,0.52625,200
2860,1299,0.04375,200
6620,174,0.159375,200
6620,701,0.30625,200
6620,3356,0.1375,200
6620,7018,0.042708333333333334,200
6620,3257,0.025,200
6620,7029,0.15,200
6620,6461,0.1125,200
6620,1299,0.1,200
18676,174,0.26187499999999997,200
18676,3356,0.37625000000000003,200
18676,6223,0.1625,200
18676,209,0.1375,200
18676,3549,0.05625,200
18676,62,0.16875,200
18676,8220,0.01875,200
18676,6461,0.01875,200
18676,1299,0.05,200
7065,1299,0.528125,200
7065,174,0.3375,200
7065,46375,0.246875,200
15557,12626,0.0125,200
15557,1299,0.20052083333333334,200
15557,174,0.10171875,200
15557,1273,0.01875,200
15557,3356,0.025,200
